BirdTree,Genera
Accipiter_badius,Accipiter
Accipiter_cooperii,Accipiter
Accipiter_gentilis,Accipiter
Accipiter_nisus,Accipiter
Accipiter_striatus,Accipiter
Acridotheres_fuscus,Acridotheres
Acridotheres_ginginianus,Acridotheres
Acridotheres_tristis,Acridotheres
Acrocephalus_stentoreus,Acrocephalus
Aegithalos_caudatus,Aegithalos
Aethopyga_siparaja,Aethopyga
Agelaioides_badius,Agelaioides
Agelaius_phoeniceus,Agelaius
Agelasticus_thilius,Agelasticus
Aimophila_carpalis,Aimophila
Aimophila_cassinii,Aimophila
Aimophila_rufescens,Aimophila
Aimophila_ruficeps,Aimophila
Alauda_arvensis,Alauda
Alauda_gulgula,Alauda
Alcedo_atthis,Alcedo
Amadina_erythrocephala,Amadina
Amandava_subflava,Amandava
Amazilia_beryllina,Amazilia
Amazilia_cyanocephala,Amazilia
Amazilia_fimbriata,Amazilia
Amazilia_lactea,Amazilia
Amazilia_violiceps,Amazilia
Amazona_aestiva,Amazona
Amazona_amazonica,Amazona
Amazona_autumnalis,Amazona
Ammodramus_aurifrons,Ammodramus
Ammodramus_savannarum,Ammodramus
Amphispiza_belli,Amphispiza
Amphispiza_bilineata,Amphispiza
Anairetes_parulus,Anairetes
Anthracothorax_nigricollis,Anthracothorax
Anthus_campestris,Anthus
Anthus_hodgsoni,Anthus
Anthus_pratensis,Anthus
Anthus_richardi,Anthus
Anthus_rubescens,Anthus
Anthus_rufulus,Anthus
Anthus_spinoletta,Anthus
Aphelocoma_californica,Aphelocoma
Aphrastura_spinicauda,Aphrastura
Apus_affinis,Apus
Aquila_nipalensis,Aquila
Aratinga_aurea,Aratinga
Aratinga_auricapillus,Aratinga
Aratinga_jandaya,Aratinga
Aratinga_leucophthalma,Aratinga
Asio_otus,Asio
Athene_brama,Athene
Athene_cunicularia,Athene
Athene_noctua,Athene
Auriparus_flaviceps,Auriparus
Basileuterus_culicivorus,Basileuterus
Basileuterus_hypoleucus,Basileuterus
Bombycilla_cedrorum,Bombycilla
Bombycilla_garrulus,Bombycilla
Brotogeris_chiriri,Brotogeris
Brotogeris_versicolurus,Brotogeris
Bubo_virginianus,Bubo
Buteo_buteo,Buteo
Buteo_jamaicensis,Buteo
Buteo_lineatus,Buteo
Buteo_magnirostris,Buteo
Buteo_polyosoma,Buteo
Buteo_regalis,Buteo
Cacicus_haemorrhous,Cacicus
Cacomantis_variolosus,Cacomantis
Calamospiza_melanocorys,Calamospiza
Calandrella_raytal,Calandrella
Callipepla_gambelii,Callipepla
Calypte_anna,Calypte
Calypte_costae,Calypte
Camptostoma_obsoletum,Camptostoma
Campylopterus_curvipennis,Campylopterus
Campylorhynchus_brunneicapillus,Campylorhynchus
Campylorhynchus_turdinus,Campylorhynchus
Campylorhynchus_zonatus,Campylorhynchus
Caracara_plancus,Caracara
Cardinalis_cardinalis,Cardinalis
Cardinalis_sinuatus,Cardinalis
Carduelis_barbata,Carduelis
Carduelis_cannabina,Carduelis
Carduelis_carduelis,Carduelis
Carduelis_chloris,Carduelis
Carduelis_flammea,Carduelis
Carduelis_lawrencei,Carduelis
Carduelis_magellanica,Carduelis
Carduelis_pinus,Carduelis
Carduelis_psaltria,Carduelis
Carduelis_sinica,Carduelis
Carduelis_spinus,Carduelis
Carduelis_tristis,Carduelis
Carpodacus_mexicanus,Carpodacus
Cathartes_aura,Cathartes
Catharus_aurantiirostris,Catharus
Catharus_guttatus,Catharus
Catherpes_mexicanus,Catherpes
Celeus_lugubris,Celeus
Certhia_americana,Certhia
Certhia_brachydactyla,Certhia
Certhia_familiaris,Certhia
Cettia_cetti,Cettia
Chaetura_brachyura,Chaetura
Chalcophaps_indica,Chalcophaps
Chlorestes_notata,Chlorestes
Chloroceryle_amazona,Chloroceryle
Chlorostilbon_lucidus,Chlorostilbon
Chondestes_grammacus,Chondestes
Chrysomus_ruficapillus,Chrysomus
Cinclus_cinclus,Cinclus
Circus_cyaneus,Circus
Cisticola_juncidis,Cisticola
Cistothorus_palustris,Cistothorus
Coccothraustes_coccothraustes,Coccothraustes
Coereba_flaveola,Coereba
Colaptes_auratus,Colaptes
Colaptes_campestris,Colaptes
Colaptes_chrysoides,Colaptes
Colaptes_melanochloros,Colaptes
Colius_striatus,Colius
Columba_guinea,Columba
Columba_livia,Columba
Columba_oenas,Columba
Columba_palumbus,Columba
Columbina_inca,Columbina
Columbina_passerina,Columbina
Columbina_picui,Columbina
Columbina_squammata,Columbina
Columbina_talpacoti,Columbina
Conirostrum_speciosum,Conirostrum
Contopus_pertinax,Contopus
Copsychus_saularis,Copsychus
Coracias_benghalensis,Coracias
Coragyps_atratus,Coragyps
Corvus_brachyrhynchos,Corvus
Corvus_corax,Corvus
Corvus_corone,Corvus
Corvus_frugilegus,Corvus
Corvus_monedula,Corvus
